Entry	Entry name	Protein names	Length	Organism	Proteomes	Protein families	DNA binding	Metal binding	Pathway	pH dependence	Temperature dependence	Features	Subcellular location [CC]	Intramembrane	Topological domain	Transmembrane
Q99369	FSH3_YEAST	Family of serine hydrolases 3 (EC 3.1.-.-)	266	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV	AB hydrolase 3 family						Active site (3); Chain (1)				
P37261	FRM2_YEAST	Fatty acid repression mutant protein 2	193	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome III							Beta strand (7); Chain (1); Helix (7); Turn (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.			
P53892	IBD2_YEAST	Protein IBD2 (Inhibition of bud division protein 2)	351	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIV	IBD2 family						Chain (1); Modified residue (3)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:12072457}.			
A0A023PXB5	IRC2_YEAST	Putative uncharacterized membrane protein IRC2 (Increased recombination centers protein 2)	102	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)								Chain (1); Transmembrane (2)	SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Multi-pass membrane protein {ECO:0000255}.			TRANSMEM 21..43;  /note="Helical; Name=1";  /evidence="ECO:0000255"; TRANSMEM 58..80;  /note="Helical; Name=2";  /evidence="ECO:0000255"
P38250	IST2_YEAST	Increased sodium tolerance protein 2	946	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome II							Chain (1); Modified residue (12); Sequence conflict (3); Topological domain (9); Transmembrane (8)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11030653, ECO:0000269|PubMed:15701790}; Multi-pass membrane protein {ECO:0000269|PubMed:11030653, ECO:0000269|PubMed:15701790}. Note=Correct localization requires BTN2. Localizes to the mother cell in small budded cells and to the bud in medium and large budded cells. Transported to the bud tip by an actomyosin based process. Compartmentalization maintained by a septin mediated membrane diffusion barrier at the mother-bud neck.		TOPO_DOM 1..121;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 143..153;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 175..217;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 239..253;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 275..302;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 324..447;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 469..505;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 527..563;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 585..946;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 122..142;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 154..174;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 218..238;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 254..274;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 303..323;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 448..468;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 506..526;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 564..584;  /note="Helical";  /evidence="ECO:0000255"
P40034	JHD1_YEAST	JmjC domain-containing histone demethylation protein 1 (EC 1.14.11.27) (Jumonji/ARID domain-containing protein 1) (ScJHDM1) ([Histone-H3]-lysine-36 demethylase 1)	492	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome V	JHDM1 histone demethylase family		METAL 305;  /note="Iron; catalytic";  /evidence="ECO:0000305"; METAL 307;  /note="Iron; catalytic";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00538"; METAL 377;  /note="Iron; catalytic";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00538"				Binding site (2); Chain (1); Domain (1); Metal binding (3); Mutagenesis (1); Zinc finger (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.			
Q12425	ISA2_YEAST	Iron-sulfur assembly protein 2	185	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XVI	HesB/IscA family		METAL 89;  /note="Iron";  /evidence="ECO:0000250|UniProtKB:P0AAC8"; METAL 175;  /note="Iron";  /evidence="ECO:0000250|UniProtKB:P0AAC8"; METAL 177;  /note="Iron";  /evidence="ECO:0000250|UniProtKB:P0AAC8"				Chain (1); Metal binding (3)	SUBCELLULAR LOCATION: Mitochondrion matrix.			
Q07843	IRC19_YEAST	Increased recombination centers protein 19 (Respiratory growth protein 4)	230	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XII	IRC19 family						Chain (1)				
P40015	ISC1_YEAST	Inositol phosphosphingolipids phospholipase C (IPS phospholipase C) (IPS-PLC) (EC 3.1.4.-) (Neutral sphingomyelinase) (N-SMase) (nSMase)	477	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome V	Neutral sphingomyelinase family		METAL 100;  /note="Magnesium";  /evidence="ECO:0000250"	PATHWAY: Lipid metabolism; sphingolipid metabolism.			Active site (1); Chain (1); Metal binding (1); Site (1); Topological domain (3); Transmembrane (2)	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.		TOPO_DOM 1..398;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 418..424;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 450..477;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 399..417;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 425..449;  /note="Helical";  /evidence="ECO:0000255"
P22517	KCC2_YEAST	Calcium/calmodulin-dependent protein kinase II (EC 2.7.11.17)	447	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily						Active site (1); Binding site (1); Chain (1); Domain (1); Modified residue (7); Nucleotide binding (1); Region (1); Sequence conflict (1)				
P38853	KEL1_YEAST	Kelch repeat-containing protein 1	1164	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VIII							Chain (1); Coiled coil (2); Modified residue (20); Repeat (5); Sequence conflict (1)				
Q07887	LDB18_YEAST	Protein LDB18 (Low dye-binding protein 18)	179	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XII							Chain (1)				
Q12342	LDB17_YEAST	Protein LDB17 (Low dye-binding protein 17)	491	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV	LDB17 family						Chain (1); Compositional bias (1); Modified residue (3)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Bud {ECO:0000269|PubMed:14562095}. Bud neck {ECO:0000269|PubMed:14562095}.			
Q04377	LCD1_YEAST	DNA damage checkpoint protein LCD1 (DNA damage checkpoint protein 2) (Lethal, checkpoint-defective, DNA damage-sensitive protein 1)	747	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV							Chain (1); Coiled coil (1); Helix (1); Modified residue (3); Mutagenesis (2)	SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Note=Localizes to nuclear DNA repair foci with other DNA repair proteins in response to DNA double strand breaks. The recruitment to DNA lesion sites requires the presence of the RPA complex on DNA.			
P38203	LSM2_YEAST	U6 snRNA-associated Sm-like protein LSm2 (Small nuclear ribonucleoprotein D homolog SNP3)	95	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome II	SnRNP Sm proteins family						Beta strand (7); Chain (1); Helix (4); Mutagenesis (3); Turn (2)	SUBCELLULAR LOCATION: Nucleus. Cytoplasm {ECO:0000305}.			
P38998	LYS1_YEAST	Saccharopine dehydrogenase [NAD(+), L-lysine-forming] (SDH) (EC 1.5.1.7) (Lysine--2-oxoglutarate reductase)	373	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IX	AlaDH/PNT family			PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via AAA pathway; L-lysine from L-alpha-aminoadipate (fungal route): step 3/3. {ECO:0000305|PubMed:4287986}.	BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 10 for the forward reaction, and 6.5-7 for the reverse reaction. {ECO:0000269|PubMed:4287986};		Active site (2); Beta strand (15); Binding site (10); Chain (1); Disulfide bond (1); Helix (16); Initiator methionine (1); Modified residue (1); Motif (1); Mutagenesis (3); Nucleotide binding (2); Region (1); Sequence conflict (2); Turn (2)	SUBCELLULAR LOCATION: Peroxisome {ECO:0000269|PubMed:10077615, ECO:0000269|PubMed:26928762, ECO:0000269|PubMed:28928432}.			
P0CW41	MALX4_YEAST	Oligo-1,6-glucosidase IMA4 (EC 3.2.1.10) (Alpha-glucosidase) (Flocculent-specific protein 2) (Isomaltase 4)	589	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome X	Glycosyl hydrolase 13 family						Active site (2); Chain (1); Site (1)				
P40513	MAM33_YEAST	Mitochondrial acidic protein MAM33	266	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IX	MAM33 family						Beta strand (6); Chain (1); Helix (8); Modified residue (1); Sequence conflict (1); Transit peptide (1); Turn (1)	SUBCELLULAR LOCATION: Mitochondrion matrix.			
Q92328	MDM12_YEAST	Mitochondrial distribution and morphology protein 12 (Mitochondrial inheritance component MDM12)	271	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV	MDM12 family						Beta strand (10); Chain (1); Cross-link (1); Domain (1); Helix (8); Mutagenesis (8); Sequence conflict (2)	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000255|HAMAP-Rule:MF_03104}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_03104}; Cytoplasmic side {ECO:0000255|HAMAP-Rule:MF_03104}. Endoplasmic reticulum membrane {ECO:0000255|HAMAP-Rule:MF_03104}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_03104}; Cytoplasmic side {ECO:0000255|HAMAP-Rule:MF_03104}. Note=The ERMES/MDM complex localizes to a few discrete foci (around 10 per single cell), that represent mitochondria-endoplasmic reticulum junctions. These foci are often found next to mtDNA nucleoids. {ECO:0000255|HAMAP-Rule:MF_03104}.			
Q05930	MDM30_YEAST	Mitochondrial distribution and morphology protein 30	598	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XII				PATHWAY: Protein modification; protein ubiquitination.			Chain (1); Domain (1)	SUBCELLULAR LOCATION: Cytoplasm. Mitochondrion.			
P53885	MDG1_YEAST	Signal transduction protein MDG1 (Multicopy suppressor of defective G-protein 1)	366	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIV	CRP1/MDG1 family						Chain (1); Cross-link (1); Modified residue (3)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:8914522}; Peripheral membrane protein {ECO:0000269|PubMed:8914522}.			
P17505	MDHM_YEAST	Malate dehydrogenase, mitochondrial (EC 1.1.1.37)	334	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XI	LDH/MDH superfamily, MDH type 1 family						Active site (1); Binding site (7); Chain (1); Modified residue (2); Nucleotide binding (2); Sequence conflict (2); Transit peptide (1)	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:11502169}.			
P38782	MED6_YEAST	Mediator of RNA polymerase II transcription subunit 6 (Mediator complex subunit 6)	295	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VIII	Mediator complex subunit 6 family						Chain (1); Modified residue (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095}.			
P25847	MSH2_YEAST	DNA mismatch repair protein MSH2 (MutS protein homolog 2)	964	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV	DNA mismatch repair MutS family						Chain (1); Mutagenesis (32); Nucleotide binding (1); Region (1); Sequence conflict (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095}.			
P18408	MET16_YEAST	Phosphoadenosine phosphosulfate reductase (EC 1.8.4.8) (3'-phosphoadenylylsulfate reductase) (PAPS reductase, thioredoxin dependent) (PAdoPS reductase)	261	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XVI	PAPS reductase family, CysH subfamily			PATHWAY: Sulfur metabolism; hydrogen sulfide biosynthesis; sulfite from sulfate: step 3/3.			Beta strand (8); Chain (1); Helix (16); Sequence conflict (1); Turn (5)				
P38590	MSG5_YEAST	Tyrosine-protein phosphatase MSG5 (EC 3.1.3.48)	489	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIV	Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily						Active site (1); Chain (1); Modified residue (4); Mutagenesis (1); Sequence conflict (1)				
P38849	MTC6_YEAST	Maintenance of telomere capping protein 6	526	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VIII	MTC6 family						Chain (1); Glycosylation (13); Signal peptide (1); Topological domain (2); Transmembrane (1)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.		TOPO_DOM 21..477;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 499..526;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 478..498;  /note="Helical";  /evidence="ECO:0000255"
P40994	ARF3_YEAST	ADP-ribosylation factor 3	183	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV	Small GTPase superfamily, Arf family						Chain (1); Initiator methionine (1); Lipidation (1); Nucleotide binding (3)	SUBCELLULAR LOCATION: Golgi apparatus.			
P53886	APC1_YEAST	Anaphase-promoting complex subunit 1	1748	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIV	APC1 family			PATHWAY: Protein modification; protein ubiquitination.			Chain (1); Compositional bias (1); Modified residue (1); Sequence conflict (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095}. Cytoplasm {ECO:0000269|PubMed:14562095}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:14562095}.			
P47133	EMC2_YEAST	ER membrane protein complex subunit 2	292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome X	EMC2 family						Chain (1); Repeat (1); Sequence conflict (1)	SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000269|PubMed:14562095}.			
P38874	ELP5_YEAST	Elongator complex protein 5 (Gamma-toxin target 5) (HAT-associated protein 2) (Protein IKI1)	309	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VIII	ELP5 family			PATHWAY: tRNA modification; 5-methoxycarbonylmethyl-2-thiouridine-tRNA biosynthesis. {ECO:0000269|PubMed:15769872}.			Beta strand (9); Chain (1); Helix (8); Turn (2)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15780940}. Nucleus {ECO:0000269|PubMed:10024884}.			
P53917	FAR11_YEAST	Factor arrest protein 11	953	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIV	FAR11 family						Chain (1); Modified residue (5)				
P18851	GBB_YEAST	Guanine nucleotide-binding protein subunit beta	423	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV	WD repeat G protein beta family						Chain (1); Repeat (7); Sequence conflict (2)				
P14742	GFA1_YEAST	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (GFAT) (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (Hexosephosphate aminotransferase)	717	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XI				PATHWAY: Nucleotide-sugar biosynthesis; UDP-N-acetyl-alpha-D-glucosamine biosynthesis; alpha-D-glucosamine 6-phosphate from D-fructose 6-phosphate: step 1/1.			Active site (1); Chain (1); Domain (3); Initiator methionine (1); Modified residue (3); Sequence conflict (2)				
P36173	GEX2_YEAST	Glutathione exchanger 2	615	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XI	Major facilitator superfamily						Chain (1); Topological domain (13); Transmembrane (12)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21490148}; Multi-pass membrane protein {ECO:0000269|PubMed:21490148}. Vacuole membrane {ECO:0000269|PubMed:21490148}; Multi-pass membrane protein {ECO:0000269|PubMed:21490148}.		TOPO_DOM 1..58;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 80..120;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 142..152;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 174..216;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 238..275;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 297..307;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 329..343;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 365..383;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 405..407;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 429..440;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 462..471;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 493..548;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 570..615;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 59..79;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 121..141;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 153..173;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 217..237;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 276..296;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 308..328;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 344..364;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 384..404;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 408..428;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 441..461;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 472..492;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 549..569;  /note="Helical";  /evidence="ECO:0000255"
P25596	GEX1_YEAST	Glutathione exchanger 1	615	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome III	Major facilitator superfamily						Chain (1); Topological domain (13); Transmembrane (12)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21490148}; Multi-pass membrane protein {ECO:0000269|PubMed:21490148}. Vacuole membrane {ECO:0000269|PubMed:21490148}; Multi-pass membrane protein {ECO:0000269|PubMed:21490148}.		TOPO_DOM 1..58;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 80..120;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 142..152;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 174..186;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 208..216;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 238..275;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 297..306;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 328..343;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 365..383;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 405..407;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 429..440;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 462..547;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 569..615;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 59..79;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 121..141;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 153..173;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 187..207;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 217..237;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 276..296;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 307..327;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 344..364;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 384..404;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 408..428;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 441..461;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 548..568;  /note="Helical";  /evidence="ECO:0000255"
Q06648	GIC2_YEAST	GTPase-interacting component 2	383	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV	BORG/CEP family						Chain (1); Compositional bias (1); Domain (1); Modified residue (5)	SUBCELLULAR LOCATION: Bud neck {ECO:0000250}. Bud tip {ECO:0000250}. Cytoplasm, cell cortex {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}.			
P07286	GPT_YEAST	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase (EC 2.7.8.15) (GlcNAc-1-P transferase) (G1PT) (GPT) (N-acetylglucosamine-1-phosphate transferase) (Tunicamycin resistance protein 1)	448	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome II	Glycosyltransferase 4 family		METAL 217;  /note="Magnesium";  /evidence="ECO:0000250|UniProtKB:Q9H3H5"; METAL 287;  /note="Magnesium";  /evidence="ECO:0000250|UniProtKB:Q9H3H5"	PATHWAY: Protein modification; protein glycosylation.			Binding site (3); Chain (1); Metal binding (2); Region (3); Transmembrane (11)	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Multi-pass membrane protein.			TRANSMEM 24..44;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 72..92;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 129..149;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 157..177;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 202..222;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 231..251;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 256..276;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 283..303;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 309..329;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 387..407;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 419..439;  /note="Helical";  /evidence="ECO:0000255"
P25373	GLRX1_YEAST	Glutaredoxin-1 (EC 1.11.1.9) (EC 2.5.1.18) (Glutathione-dependent oxidoreductase 1)	110	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome III	Glutaredoxin family						Beta strand (4); Binding site (2); Chain (1); Cross-link (1); Disulfide bond (1); Domain (1); Helix (7); Modified residue (1); Mutagenesis (2); Region (2); Turn (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.			
P32836	GSP2_YEAST	GTP-binding nuclear protein GSP2/CNR2	220	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV	Small GTPase superfamily, Ran family						Binding site (1); Chain (1); Initiator methionine (1); Modified residue (2); Nucleotide binding (3)	SUBCELLULAR LOCATION: Nucleus.			
P14064	HAP4_YEAST	Transcriptional activator HAP4	554	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XI							Chain (1); Compositional bias (5); Mutagenesis (7); Region (3); Sequence conflict (1)	SUBCELLULAR LOCATION: Nucleus.			
P02294	H2B2_YEAST	Histone H2B.2	131	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome II	Histone H2B family						Beta strand (1); Chain (1); Cross-link (5); Helix (4); Initiator methionine (1); Modified residue (13); Mutagenesis (5); Turn (1)	SUBCELLULAR LOCATION: Nucleus. Chromosome.			
Q04087	LRS4_YEAST	Monopolin complex subunit LRS4 (Loss of rDNA silencing protein 4)	347	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV							Chain (1); Coiled coil (1); Modified residue (2)	SUBCELLULAR LOCATION: Nucleus, nucleolus. Chromosome, centromere. Note=Transiently released from the nucleolus and localized to the centromere regions during late pachytene. This relocation is CDC5 dependent.			
P36007	LTHAD_YEAST	L-threo-3-hydroxyaspartate ammonia-lyase (EC 4.3.1.16) (L-threo-3-hydroxyaspartate dehydratase)	326	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XI	Serine/threonine dehydratase family						Binding site (2); Chain (1); Modified residue (1); Region (1)				
P53846	LTO1_YEAST	Protein LTO1 (LTO1 family protein YNL260C)	162	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIV	LTO1 family						Chain (1); Erroneous initiation (3); Mutagenesis (18); Region (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:23318452}.			
Q08179	MDM38_YEAST	Mitochondrial distribution and morphology protein 38	573	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV							Beta strand (4); Chain (1); Coiled coil (2); Compositional bias (1); Domain (1); Helix (14); Topological domain (2); Transit peptide (1); Transmembrane (1); Turn (1)	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:15138253}; Single-pass membrane protein {ECO:0000255}.		TOPO_DOM 57..138;  /note="Mitochondrial intermembrane";  /evidence="ECO:0000255"; TOPO_DOM 160..573;  /note="Mitochondrial matrix";  /evidence="ECO:0000255"	TRANSMEM 139..159;  /note="Helical";  /evidence="ECO:0000255"
Q12019	MDN1_YEAST	Midasin (Dynein-related AAA-ATPase REA1) (MIDAS-containing protein) (Ribosome export/assembly protein 1)	4910	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XII	Midasin family						Chain (1); Compositional bias (3); Domain (1); Modified residue (5); Nucleotide binding (6); Region (8)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11583615, ECO:0000269|PubMed:12102729, ECO:0000269|PubMed:15528184}. Nucleus, nucleolus {ECO:0000269|PubMed:20542003}. Nucleus, nucleoplasm {ECO:0000269|PubMed:15528184}.			
